Food Name,Carotene(µg),Thiamine(mg),Riboflavin(mg),Niacin(mg),Folicacid(mg),Folicfree(mg),Vitamin-C(mg),Choline-(mg)
"HERRING, Indian",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HERRING ox-eyed,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HILSA,0,0.0,0.0,2.8,0.0,0.0,24.0,1364.0
HORSE MACKEREL,0,0.0,0.0,2.9,0.0,0.0,0.0,0.0
INDIAN WHITING,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JEW FISH (kora),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JEW FISH (pallikora),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KALABASU,0,0.0,0.0,0.6,0.0,0.0,11.0,716.0
KATLA,0,0.0,0.0,0.8,0.0,0.0,0.0,611.0
KHORSULA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KHOYRA fresh,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
KHOYRA dried,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOI,0,0.0,0.0,0.0,0.0,0.0,32.0,891.0
KOOCHA MACHLI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LATA,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
LOBSTER,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MACKEREL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAGUR,0,0.0,0.0,0.0,0.0,0.0,0.0,639.0
MAHASOLE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MANDELI, dried",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRIGAL,0,0.0,0.0,0.7,16.7,9.7,0.0,480.0
MULLET,0,0.0,0.0,2.6,0.0,0.0,0.0,0.0
MUSHI dried,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MUSSEL, fresh water",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MUTIJELLA, dried",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OIL SARDINE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PABDA,0,0.0,0.0,0.0,0.0,0.0,0.0,1018.0
PANGAS,0,0.0,0.0,0.6,0.0,0.0,7.0,913.0
PARSEY fresh,0,0.0,0.0,0.8,0.0,0.0,6.0,0.0
PARSEY dried,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"POMFRETS, black",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"POMFRETS, white",0,0.0,0.1,2.6,0.0,0.0,0.0,0.0
PRAWN,0,0.0,0.1,4.8,0.0,0.0,0.0,542.0
PUTI,0,0.0,0.0,0.3,0.0,0.0,15.0,393.0
RAVAS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAY,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIBBON FISH fresh,0,0.0,0.0,2.1,0.0,0.0,0.0,0.0
RIBBON FISH dried,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROHU,0,0.1,0.1,0.7,0.0,0.0,22.0,819.0
SARDINE,0,0.0,0.0,2.6,0.0,0.0,0.0,0.0
SARPUTI,0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
SHARK,0,0.0,0.0,2.5,0.0,0.0,0.0,0.0
"SHRIMP (small, dried)",0,0.0,0.0,0.0,18.6,15.7,0.0,0.0
SEER,0,0.0,0.0,1.2,0.0,0.0,0.0,0.0
SILVER BELLY,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SINGHALA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SINGHI,0,0.0,0.0,0.8,0.0,0.0,9.0,64.0
SOLE,0,0.0,0.0,0.5,0.0,0.0,9.0,572.0
SOLE (malahar),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SURMAI fresh,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SURMAI dried,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAPRA (dried),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAPSI (dried),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TARTOOR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TENGRA fresh,0,0.0,0.0,0.0,0.0,0.0,18.0,783.0
TENGRA dried,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUNNY,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WHITE BAIT,0,0.0,0.0,2.3,0.0,0.0,0.0,0.0
BEEF meal,0,0.0,0.4,5.8,0.0,0.0,0.0,0.0
BEEF muscle,18,0.1,0.0,6.4,0.0,0.0,2.0,0.0
BUFFALO MEAT,0,0.0,0.0,0.0,7.8,4.6,0.0,0.0
DUCK,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"EGG, duck",405,0.1,0.3,0.2,80.0,80.0,0.0,0.0
"EGG, hen",420,0.1,0.4,0.1,78.3,70.3,0.0,0.0
"EGG, turtle",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FINCH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOWL,0,0.0,0.1,0.0,6.8,3.2,0.0,0.0
GOAT MEAT (lean),0,0.0,0.0,0.0,4.5,0.5,0.0,0.0
GREY QUAIL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIVER GOA5,0,0.0,0.0,0.0,176.0,61.2,0.0,0.0
LIVER SHEEP,6690,0.4,1.7,17.6,188.0,65.5,20.0,0.0
"MUTTON, muscle",9,0.2,0.1,6.8,5.8,1.0,0.0,0.0
PIGEON,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PORK, muscle",0,0.5,0.1,2.8,0.0,0.0,2.0,0.0
RUFF AND REEVE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SNAIL, small",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SNAIL, big",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TURTLE'S MEAT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VENISON,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MILK ass's,0,0.1,0.0,0.1,0.0,0.0,10.0,0.0
MILK buffalo's,48,0.0,0.1,0.1,5.6,3.3,1.0,0.0
MILK cow's,53,0.1,0.2,0.1,8.5,5.6,2.0,0.0
MILK goat's,55,0.1,0.0,0.3,1.3,0.7,1.0,0.0
MILK human,41,0.0,0.0,0.0,0.0,1.3,3.0,0.0
CURDS (cow's milk),31,0.1,0.2,0.1,12.5,3.3,1.0,0.0
BUTTER MILK,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SKIMMED MILK, liquid",0,0.0,0.0,0.1,0.0,0.0,1.0,0.0
"CHANNA, cow's milk",110,0.1,0.0,0.0,0.0,0.0,3.0,0.0
"CHANNA, buffalo's",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEESE,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KHOA (whole buffalo milk),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KHOA (skimmed buffalo milk),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KHOA (whole cow milk),149,0.2,0.4,0.4,0.0,0.0,6.0,0.0
SKIMMED MILK POWDER (cow's milk),0,0.5,1.6,1.0,0.0,0.0,5.0,0.0
WHOLE MILK POWDER (cow's milk),420,0.3,1.4,0.8,0.0,0.0,4.0,0.0
BUTTER,960,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHEE (cow),600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHEE (buffalo),270,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HYDROGENATED OIL (fortified),450,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"COOKING OIL (Gnut,ging,palm,must,coconut",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAMBOO SEEDS,0,0.2,0.1,1.1,0.0,0.0,0.0,0.0
BANTI,0,0.3,0.0,1.8,0.0,0.0,0.0,0.0
BUCK WHEAT,0,0.9,0.3,4.4,0.0,0.0,0.0,0.0
CHENOPODIUM ALBUM SEEDS,0,0.2,0.2,3.5,0.0,0.0,0.0,0.0
COWAGE SEED FLOUR,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
DAINCHA SEEDS,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
JOB'S TEARS,0,0.3,0.0,6.7,0.0,0.0,0.0,0.0
OATMEAL,0,1.0,0.0,1.1,34.0,32.0,0.0,0.0
KITTUL FLOUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOTUS SEED,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAKHANA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAJKEERA SEEDS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WATER LILY SEEDS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOA BEANS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MALMANDI,0,0.8,0.3,4.5,0.0,0.0,0.0,0.0
SUTARI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BAMBOO, tender shoots",0,0.1,0.2,0.2,0.0,0.0,5.0,0.0
CEYLON PASALI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHIMTI SAG,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GIRIA SAG,2100,0.0,0.1,0.2,0.0,0.0,13.0,0.0
GULCHARNI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KASINI KEERAT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KATHA SAG,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KENA SAG,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KHESARI LEAVES,3000,0.0,0.0,0.0,0.0,0.0,41.0,0.0
KOILA KARHA SAG,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KONAR SAG,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KORLA LEAVES,1764,0.1,0.3,1.7,0.0,0.0,10.0,0.0
MANAL KEERAI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MATA SAG (lupu),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NACHUKOTTA KEERAI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEEM LEAVES mature,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEEM LEAVES tender,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PACHARISI KEERAI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PANNA KEERAI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARWAR SAG,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PASARAI KEERAI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PATUA SAG,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POTATO LEAVES,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PULIARA KEERAI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUNNAKU KEERAI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PERANDAI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SARAVALLAI KEERAI,0,0.0,0.0,0.0,0.0,0.0,70.0,0.0
SARLI SAG,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEEMAI PONNANGANNI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SINDUAR SAG,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SINDUAR, (wild)",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SONCHAL SAG,2490,0.0,0.0,0.2,0.0,0.0,79.0,0.0
SOYA LEAVES,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
SWEET POTATO LEAVES,750,0.1,0.2,1.7,0.0,0.0,27.0,0.0
THOODUVALAI KEERAI,0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
VEETHI KEERAI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VELAIKEERAI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VELLA KEERAI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WATER CRESS,2803,0.1,0.0,0.8,0.0,0.0,13.0,0.0
BOKWA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUDHIA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BID ROOT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CANNA, edible",0,0.1,0.1,1.7,0.0,0.0,5.0,0.0
CHUMBIA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHURKIA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPIDONG SANGA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GARMAR,93,0.0,0.1,0.4,0.0,0.0,0.0,0.0
JIPOO SANGA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOTUS ROOT,0,0.1,0.0,0.0,0.0,0.0,22.0,0.0
MOOR SANGA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MURUM SANGA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OCHEN SANGA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SONG,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TURUM SANGA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"WATER LILY, red",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"WATER LILY, white",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGATHI FLOWERS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTICHOKE,37,0.2,0.0,0.0,0.0,0.0,0.0,0.0
BAGNAHA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BOROOEE, raw",0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
CHALTHA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KANDAN KATHIRI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"LOTUS SEED, green and mature",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MADAPU GINJA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUSHROOM,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHUTKA CHATTOO,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NISORHA FLOWERS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RHUBARB STALKS,0,0.0,0.0,0.0,0.0,0.0,37.0,0.0
SANGA KA PHAL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANNHEMP FLOWERS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SEA WEEDS, fresh",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SEA WEEDS, dry",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SILK COTTON FLOWERS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TETROLOBAR BEAN,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WATER LILY FLOWERS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADDA SEED (kernel),0,0.2,0.2,1.1,0.0,0.0,0.0,0.0
JUNGLI BADAM,0,0.1,0.1,1.1,0.0,0.0,5.0,0.0
OYSTER NUT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MANGO SEED KERNEL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROSELLE SEEDS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAJJAR BHANG,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TAMARIND SEED KERNEL, roasted",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUMPKIN SEED,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OKRA (whole seed),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OKRA (kernel),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLEOME VISCOSA defatted seed cake,0,0.1,0.1,0.1,0.0,0.0,0.0,0.0
MARKING NUT (kernel),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAINCHA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAMBOO FRUIT,11,0.1,0.1,0.0,0.0,0.0,1.0,0.0
BLACKBERRY,7,0.0,0.0,2.0,0.0,0.0,9.0,0.0
BOROOEE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARAMBOLA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHERIMOYER,2,0.0,0.2,1.0,0.0,0.0,7.0,0.0
DURIAN,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JURMATA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KESAUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KILA PAZHAM,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KUSUM FRUITS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LANGSAT,7,0.1,0.1,0.0,0.0,0.0,1.0,0.0
"MATASURA, whole fruit",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MATASURA, skin & pulp",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MULCHARI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEEM FRUIT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NISORHA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PANIYALA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAPA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PERAR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIPAL TREE FIGS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIYAL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAYAN,495,0.1,0.1,0.7,0.0,0.0,16.0,0.0
SIRK,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STAR APPLE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THAVITTU PAZHAM,44,0.1,0.0,0.3,0.0,0.0,0.0,0.0
TUMKI,361,0.0,0.0,2.3,0.0,0.0,1.0,0.0
VIKKI PAZHAM,190,0.0,0.1,0.3,0.0,0.0,0.0,0.0
