Food Name,Carotene(µg),Thiamine(mg),Riboflavin(mg),Niacin(mg),Folicacid(mg),Folicfree(mg),Vitamin-C(mg),Choline-(mg)
COW PEA LEAVES,6702,0.1,0.2,0.6,0.0,0.0,4.0,0.0
CURRY LEAVES,7560,0.1,0.2,2.3,93.9,23.5,4.0,0.0
DRUMSTICK LEAVES,6780,0.1,0.1,0.8,0.0,0.0,220.0,0.0
FENUGREEK LEAVES,2340,0.0,0.3,0.8,0.0,0.0,52.0,0.0
"FETID CASSIA, fresh",10152,0.1,0.2,0.8,0.0,0.0,82.0,0.0
FETID CASSIA (dried),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GARDEN CRESS,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
GARDEN SORREL (sepals),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOGU,2898,0.1,0.4,1.1,0.0,0.0,20.0,0.0
IPOMOEA STEMS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IPOMOEA LEAVES,1980,0.1,0.1,0.6,0.0,0.0,37.0,0.0
KNOL-KHOL GREENS,4146,0.3,0.0,3.0,0.0,0.0,157.0,0.0
KUPPAMENI,0,0.0,0.0,0.0,0.0,0.0,147.0,0.0
LETTUCE,990,0.1,0.1,0.5,0.0,0.0,10.0,178.0
"LETTUCE TREE LEAVES, mature",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"LETTUCE TREE LEAVES, tender",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MENATHAKKALI LEAVES,0,0.0,0.6,0.9,0.0,0.0,11.0,0.0
MAYALU,7440,0.0,0.2,0.5,0.0,0.0,87.0,0.0
MINT,1620,0.1,0.3,1.0,114.0,9.7,27.0,0.0
MODAKANTHAN KEERAI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUKARRATE KEERAI,0,0.0,0.0,0.0,0.0,0.0,27.0,0.0
MUSTARD LEAVES,2622,0.0,0.0,0.0,0.0,0.0,33.0,0.0
NEERINGI,0,0.0,0.0,0.0,0.0,0.0,41.0,0.0
PARSLEY,1920,0.0,0.2,0.5,0.0,0.0,281.0,0.0
PARUPPU KEERAI,100,0.1,0.2,0.7,0.0,0.0,29.0,0.0
PONNANGANNI,1926,0.0,0.1,1.2,0.0,0.0,17.0,0.0
PUMPKIN LEAVES,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RADISH LEAVES,5295,0.2,0.5,0.8,0.0,0.0,81.0,0.0
TABLE RADISH LEAVES,5742,0.2,0.3,5.5,0.0,0.0,106.0,0.0
RAPE LEAVES,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAPE LEAVES,1380,0.0,0.0,0.9,0.0,0.0,65.0,0.0
RAPE LEAVES (dried),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAFFLOWER LEAVES,3540,0.0,0.1,0.0,0.0,0.0,15.0,0.0
SHEPU,7182,0.0,0.1,0.2,0.0,0.0,0.0,25.0
SPINACH,5580,0.0,0.3,0.5,123.0,51.0,28.0,0.0
SPINACH stalks,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUSNI SAG,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TAMARIND LEAVES, tender",250,0.2,0.2,4.1,0.0,0.0,3.0,0.0
TURNIP GREENS,9396,0.3,0.6,5.4,0.0,0.0,180.0,0.0
ARROW ROOT FLOUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BANANA RHIZOME,16,0.0,0.0,0.2,0.0,0.0,1.0,0.0
BEET ROOT,0,0.0,0.1,0.4,0.0,0.0,10.0,242.0
CARROT,1890,0.0,0.0,0.6,15.0,5.0,3.0,168.0
COLOCASIA,24,0.1,0.0,0.4,54.0,16.0,0.0,0.0
KHAMALU,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MANGO GINGER,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"ONION, big",0,0.1,0.0,0.4,6.0,1.5,11.0,0.0
"ONION, small",15,0.1,0.0,0.5,0.0,0.0,2.0,0.0
PARSNIP,18,0.1,0.0,0.4,0.0,0.0,16.0,0.0
POTATO,24,0.1,0.0,1.2,7.0,3.0,17.0,100.0
"RADISH, pink",3,0.1,0.0,0.4,0.0,0.0,17.0,0.0
RADISH rat-tailed,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"RADHISH, table",4,0.0,0.0,1.4,0.0,0.0,21.0,0.0
"RADISH, white",3,0.1,0.0,0.5,0.0,0.0,15.0,63.0
SWEET POTATO,6,0.1,0.0,0.7,0.0,0.0,24.0,0.0
TAPIOCA,0,0.1,0.1,0.3,0.0,0.0,25.0,0.0
"TAPIOCA, chips, dried",0,0.2,0.1,1.4,0.0,0.0,0.0,0.0
TURNIP,0,0.0,0.0,0.5,0.0,0.0,43.0,137.0
"YAM, elephant",260,0.1,0.1,0.7,0.0,0.0,0.0,0.0
"YAM, ordinary",78,0.1,0.0,0.7,17.5,0.9,0.0,0.0
"YAM, wild",565,0.2,0.5,1.2,0.0,0.0,1.0,0.0
ASH GUARD,0,0.1,0.0,0.4,0.0,0.0,1.0,0.0
"BEANS, scarlet runner",34,0.3,0.2,0.0,0.0,0.0,27.0,0.0
BITTER GOURD,126,0.1,0.1,0.5,0.0,0.0,88.0,0.0
"BITTER GOURD, small",126,0.1,0.1,0.4,0.0,0.0,96.0,0.0
BOTTLE GOURD,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
BRINJAL,74,0.0,0.1,0.9,34.0,5.0,12.0,52.0
BROAD BEANS,9,0.1,0.0,0.8,0.0,0.0,12.0,5.0
CAULIFLOWER,30,0.0,0.1,1.0,0.0,0.0,56.0,127.0
CHO-CHO-MARROW,0,0.0,0.0,0.4,0.0,0.0,4.0,0.0
CLUSTER BEANS,198,0.1,0.0,0.6,144.0,50.0,49.0,0.0
COLOCASIA STEM,104,0.1,0.1,0.1,0.0,0.0,3.0,0.0
